config,grid,seed,hidden_size,learning_rate,gamma,timesteps,updates,episodes,final_avg_50,success_rate,avg_eval_reward,avg_eval_steps,checkpoint
hidden_64,restaurant_delivery_grid,0,64,0.001,0.99,100000,99001,403,-12.048599999999874,0.0,-10.646799999999876,500.0,out\dqn_experiments\dqn_hidden_64_restaurant_delivery_grid_seed0.pt
hidden_64,restaurant_delivery_grid,1,64,0.001,0.99,100000,99001,263,-20.743999999999925,0.1,-8.44039999999988,482.92,out\dqn_experiments\dqn_hidden_64_restaurant_delivery_grid_seed1.pt
hidden_64,restaurant_delivery_grid,2,64,0.001,0.99,100000,99001,3120,-8.170399999999974,0.0,-13.998399999999855,500.0,out\dqn_experiments\dqn_hidden_64_restaurant_delivery_grid_seed2.pt
hidden_128,restaurant_delivery_grid,0,128,0.001,0.99,100000,99001,308,-4.873599999999922,0.0,-10.568399999999874,500.0,out\dqn_experiments\dqn_hidden_128_restaurant_delivery_grid_seed0.pt
hidden_128,restaurant_delivery_grid,1,128,0.001,0.99,100000,99001,462,20.128599999999995,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_hidden_128_restaurant_delivery_grid_seed1.pt
hidden_128,restaurant_delivery_grid,2,128,0.001,0.99,100000,99001,6550,20.175599999999996,1.0,19.816800000000004,9.18,out\dqn_experiments\dqn_hidden_128_restaurant_delivery_grid_seed2.pt
hidden_256,restaurant_delivery_grid,0,256,0.001,0.99,100000,99001,5253,20.1312,1.0,19.816000000000003,9.22,out\dqn_experiments\dqn_hidden_256_restaurant_delivery_grid_seed0.pt
hidden_256,restaurant_delivery_grid,1,256,0.001,0.99,100000,99001,460,17.55320000000001,1.0,19.7368,12.2,out\dqn_experiments\dqn_hidden_256_restaurant_delivery_grid_seed1.pt
hidden_256,restaurant_delivery_grid,2,256,0.001,0.99,100000,99001,3246,-5.94939999999994,0.5,2.717200000000071,347.0,out\dqn_experiments\dqn_hidden_256_restaurant_delivery_grid_seed2.pt
